GEO,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,PRVDR_NUM,SKLTN_REC_SW,STATE_RGN_CD,TRMNTN_EXPRTN_DT,ZIP_CD,CBSA_CD,LONGITUDE,LATITUDE,GRADE_FAC_NAME,GRADEN,GRADEN.01,GEOGRAPHY.1,TOTAL_CIVILIAN_NONINSTITUTIONALIZED_POPULATION,AVG-MEDIAN_AGE_IN_YEARS,TOTAL_HOUSEHOLDS_ESTIMATE,PROP_FAMILY_HOUSEHOLDS,PROP_NONFAMILY_HOUSEHOLDS,AVERAGE_HOUSEHOLD_SIZE,AVERAGE_FAMILY_SIZE,GPS_LIVING_WITH_GCS_UNDER_18_YEARS,PROP__GPS_CARING_FOR_GC_OVER_18,NUMBER_OF_VETERANS,VETERANS_AS_PROP_OF_POPULATION,UNEMPLOYED_VETERANS_PROP_OF_LABOUR_FORCE,HISPANI_OR_LATINO,HISPANIC/LATINO_PROP,WHITE,WHITE_PROP,BLACK_ESTIMATE,BLACK_PROP,NATIVE_AMERICAN/ALASKAN,NATIVE_AMERICAN/ALASKAN_PROP,ASIAN,ASIAN_PROP,NATIVE_HAWAIIAN/PACIFIC_ISLANDER,NATIVE_HAWAIIAN/PACIFIC_ISLANDER_PROP,"OTHER_RACE_ONLY,_NOT_HISPANIC/LATINO","OTHER_RACE_ONLY,_NOT_HISPANIC/LATINO_PROP","TWO_OR_MORE_RACES_ALONE,_NOT_HISPANIC_OR_LATINO_ESTIMATE","TWO_OR_MORE_RACES_ALONE,_NOT_HISPANIC_OR_LATINO_PROP",PROP_NATIVE_BORN,PROP_FOREIGN_BORN,PROP_OF_FOREIGN_BORN_WHO_ARE_NATURALIZED_U.S._CITIZEN,POP_5_YEARS_+,POP_5_YEARS_+_FOREIGN_LANGUAGE_AT_HOME,POP_5_YEARS_+_W/_POOR_ENGLISH,MEDIAN_HOUSEHOLD_INCOME_(DOLLARS),MEAN_HOUSEHOLD_INCOME_(DOLLARS),MEDIAN_FAMILY_INCOME_(DOLLARS),MEAN_FAMILY_INCOME_(DOLLARS),PER_CAPITA_INCOME_(DOLLARS),ALL_FAMILIES%,MARRIED_COUPLE_FAMILIES%,FEMALE_HOUSEHOLDER_NO_HUSBAND%,ALL_PEOPLE%,UNDER_18%,PERCENT_(LABOR_FORCE_PARTICIPATION_RATE),LABOUR_FORCE_%,EMPLOYED_16+%,EMPLOYED_%_16+,UNEMPLOYMENT%,MILITARY%,NOT_IN_LABOURFORCE%,"POPULATION_25_YEARS_
AND_OVER%",PERCENT_LESS_THAN_9TH_GRADE%,"PERCENT_9TH_TO_12TH_GRADE,_NO_DIPLOMA",PERCENT_HIGH_SCHOOL_GRADUATE_(INCLUDES_EQUIVALENCY),"PERCENT_SOME_COLLEGE,_NO_DEGREE",PERCENT_ASSOCIATE'S_DEGREE,PERCENT_BACHELOR'S_DEGREE,PERCENT_GRADUATE_OR_PROFESSIONAL_DEGREE,PERCENT_HIGH_SCHOOL_GRADUATE_OR_HIGHER,POPULATION_25_YEARS_AND_OVER_WITH_EARNINGS,LESS_THAN_HIGH_SCHOOL_GRADUATE_EARNINGS_(DOLLARS),HIGH_SCHOOL_GRADUATE__EARNINGS_(DOLLARS),SOME_COLLEGE_OR_ASSOCIATE'S_DEGREE_EARNINGS_(DOLLARS),BACHELOR'S_DEGREE_EARNINGS_(DOLLARS),GRADUATE_OR_PROFESSIONAL_DEGREE_EARNINGS_(DOLLARS),MEDIAN_VALUE_(DOLLARS)
FREMONT,19950912,Y,KAISER FOUNDATION HOSPITAL FREMONT LABORATORY,05D0673159,N,M2,20200807,94538,36084,-121.974401,37.5524244,KAISER FOUNDATION HOSPITAL - FREMONT,100,1,FREMONT CITY,234341,37.4,72148,82.8,17.2,3.23,3.52,8477,34.8,4153,2.3,6.1,31053,13.2,45570,19.4,4451,1.9,741,0.3,143836,61.2,812,0.3,304,0.1,8187,3.5,51.2,48.8,52.8,220370,64.9,17.5,92321,108872,106277,116866,40427,5.7,4,12.8,9.3,11.6,63.6,63.6,61.5,2.1,3.2,0,36.4,7754,4.7,2.9,19.8,24.2,12.1,22.3,14,92.4,51670,31515,37964,51914,61882,74271,597000
FREMONT,19930208,N,TPMG MEDICAL OFFICES,05D0689039,Y,M2,20200831,94538,36084,-121.974401,37.5524244,KAISER FOUNDATION HOSPITAL - FREMONT,100,1,FREMONT CITY,234341,37.4,72148,82.8,17.2,3.23,3.52,8477,34.8,4153,2.3,6.1,31053,13.2,45570,19.4,4451,1.9,741,0.3,143836,61.2,812,0.3,304,0.1,8187,3.5,51.2,48.8,52.8,220370,64.9,17.5,122191,143043,130360,154636,47015,3.2,1.9,12.1,4.9,3.9,66.7,66.7,63.7,3,4.6,0,33.3,161887,2.8,3.8,17.6,15,5.7,29,26.2,93.4,69685,28212,37150,47915,83178,114134,805100
HAYWARD,20101202,Y,ST ROSE HOSPITAL LABORATORY,05D0699959,N,M2,20191130,94545,36084,-122.087952,37.6337041,ST. ROSE HOSPITAL,60,0.6,HAYWARD CITY,159560,34.9,46860,73.9,26.1,3.35,3.85,7637,19.3,4430,3.6,1.9,65718,40.9,25960,16.2,13893,8.7,350,0.2,42519,26.5,2740,1.7,267,0.2,9038,5.6,61.8,38.2,55.6,150864,59.2,20.9,74927,92906,79553,98463,29583,8.3,5.2,17.3,10.5,15,67.3,67.2,63,4.3,6.3,0.1,32.7,106571,10.5,8,26.3,21.2,7.2,19.4,7.4,81.5,40131,26152,33528,41176,56470,73863,268900
HAYWARD,20101202,Y,ST ROSE HOSPITAL PULMONARY LAB,05D0711665,N,M2,20151130,94545,36084,-122.087952,37.6337041,ST. ROSE HOSPITAL,60,0.6,HAYWARD CITY,159560,34.9,46860,73.9,26.1,3.35,3.85,7637,19.3,4430,3.6,1.9,65718,40.9,25960,16.2,13893,8.7,350,0.2,42519,26.5,2740,1.7,267,0.2,9038,5.6,61.8,38.2,55.6,150864,59.2,20.9,109084,132041,125951,146945,47903,3,1.7,10.3,4.8,3.8,70.5,70.4,67.7,2.8,3.9,0,29.5,61016,3.9,3.9,17.3,23.8,9.7,26.5,14.9,92.2,58447,22456,40525,51012,79789,102767,332300
HAYWARD,19971103,N,ST ROSE HOSPITAL-OCCUPATIONAL HEALTH,05D0935616,Y,LAB,20191102,94545,36084,-122.087952,37.6337041,ST. ROSE HOSPITAL,60,0.6,HAYWARD CITY,159560,34.9,46860,73.9,26.1,3.35,3.85,7637,19.3,4430,3.6,1.9,65718,40.9,25960,16.2,13893,8.7,350,0.2,42519,26.5,2740,1.7,267,0.2,9038,5.6,61.8,38.2,55.6,150864,59.2,20.9,96817,116053,100375,120431,35920,4.1,2.5,11.7,6.3,9.2,66,66,62.6,3.4,5.1,0,34,31857,4.7,6.2,31,21.1,5.8,21.2,10.1,89.1,50404,31935,39139,50652,74090,94596,642300
HAYWARD,20110928,Y,PRECISION PATHOLOGY HAYWARD,05D2016390,N,M2,20130201,94545,36084,-122.087952,37.6337041,ST. ROSE HOSPITAL,60,0.6,HAYWARD CITY,159560,34.9,46860,73.9,26.1,3.35,3.85,7637,19.3,4430,3.6,1.9,65718,40.9,25960,16.2,13893,8.7,350,0.2,42519,26.5,2740,1.7,267,0.2,9038,5.6,61.8,38.2,55.6,150864,59.2,20.9,63251,93849,70907,107880,37256,14.5,8.3,29.4,18.7,26.4,67.9,67.8,62.4,5.5,8,0.1,32.1,299323,11.2,8.2,15.6,18.7,5.8,22.8,17.8,80.7,40421,21307,25170,33946,55781,75799,408100
HAYWARD,20130619,N,EAST BAY PATHOLOGY ASSOCIATES,05D2060888,Y,M2,20150218,94545,36084,-122.087952,37.6337041,ST. ROSE HOSPITAL,60,0.6,HAYWARD CITY,159560,34.9,46860,73.9,26.1,3.35,3.85,7637,19.3,4430,3.6,1.9,65718,40.9,25960,16.2,13893,8.7,350,0.2,42519,26.5,2740,1.7,267,0.2,9038,5.6,61.8,38.2,55.6,150864,59.2,20.9,202631,275243,220441,304749,96594,2.6,2.4,6.1,4.9,1,62.5,62.5,60.1,2.4,3.9,0,37.5,7721,0.4,0.7,2.2,7.2,4.6,36.2,48.6,98.9,103330,-,40250,63380,96750,137500,572800
OAKLAND,19921223,N,SUMMIT CAMPUS LAB OF ALTA BATES,05D0602367,Y,M2,20190208,94609,36084,-122.262747,37.822057,ALTA BATES SUMMIT MEDICAL CENTER SUMMIT CAMPUS,60,0.6,OAKLAND CITY,423307,36.7,158851,55,45,2.63,3.4,9394,18.1,12670,3.7,5.6,120770,28.4,114971,27,97457,22.9,1315,0.3,65682,15.4,2563,0.6,1826,0.4,20620,4.8,71.9,28.1,42.7,398551,41.1,21.7,138269,168160,157023,187504,60067,3.1,1.9,12,4.3,5.2,66,65.9,63.6,2.3,3.5,0,34,54223,1.8,2,11.2,16,6.7,34.8,27.5,96.2,83439,30980,45654,60058,89078,119710,387700
OAKLAND,19930602,N,SUMMIT MEDICAL CENTER NUCLEAR MEDICINE,05D0691784,Y,LAB,19960831,94609,36084,-122.262747,37.822057,ALTA BATES SUMMIT MEDICAL CENTER SUMMIT CAMPUS,60,0.6,OAKLAND CITY,423307,36.7,158851,55,45,2.63,3.4,9394,18.1,12670,3.7,5.6,120770,28.4,114971,27,97457,22.9,1315,0.3,65682,15.4,2563,0.6,1826,0.4,20620,4.8,71.9,28.1,42.7,398551,41.1,21.7,66178,86416,79186,95722,32396,8.1,7.1,12.7,11.1,13,65.6,65.5,61.4,4.1,6.3,0,34.4,64181,9.5,8.3,24.3,20.6,7.5,20.1,9.8,82.2,41829,30483,34091,40937,58650,67731,495400
OAKLAND,19930301,N,SUMMIT MED CENTER BEDSIDE TESTING LAB,05D0707874,Y,LAB,20160831,94609,36084,-122.262747,37.822057,ALTA BATES SUMMIT MEDICAL CENTER SUMMIT CAMPUS,60,0.6,OAKLAND CITY,423307,36.7,158851,55,45,2.63,3.4,9394,18.1,12670,3.7,5.6,120770,28.4,114971,27,97457,22.9,1315,0.3,65682,15.4,2563,0.6,1826,0.4,20620,4.8,71.9,28.1,42.7,398551,41.1,21.7,89961,100432,93777,106156,31914,5.3,4.7,9,8.9,13.4,64.5,64.5,60.4,4.1,6.3,0,35.5,17484,9.5,7.3,28.2,21.1,8.7,18.7,6.5,83.3,48783,31938,41477,48687,59117,67019,957800
OAKLAND,20130912,N,KAISER FOUNDATION HOSPITAL LABORATORY,05D2065697,Y,M2,20170913,94611,36084,-122.2582442,37.8235195,KAISER FOUNDATION HOSPITAL - OAKLAND,80,0.8,OAKLAND CITY,423307,36.7,158851,55,45,2.63,3.4,9394,18.1,12670,3.7,5.6,120770,28.4,114971,27,97457,22.9,1315,0.3,65682,15.4,2563,0.6,1826,0.4,20620,4.8,71.9,28.1,42.7,398551,41.1,21.7,109453,186884,124167,219456,71410,3.4,3.8,0,9,32.2,60,60,57,3,5,0,40,782,4.5,2.3,15.9,26,6.9,28.1,16.4,93.2,56739,-,36250,55938,61250,110000,814600
SAN LEANDRO,20140303,N,TPMG SAN LEANDRO PPMP LABORATORY MOB,05D2074181,Y,M2,20200302,94577,36084,-122.1651409,37.7063601,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,100,1,SAN LEANDRO CITY,90331,43.5,33458,63.1,36.9,2.69,3.36,N,N,4143,5.6,4.2,19706,21.8,23822,26.3,7283,8,810,0.9,33161,36.6,1297,1.4,545,0.6,3931,4.3,60.1,39.9,54,85850,50.8,29.7,95625,115659,102341,122856,34727,4.5,2.9,13.7,7.1,8.3,63.6,63.5,60.1,3.4,5.4,0.1,36.4,53631,4.6,4.9,27.5,21.4,6.1,23.4,12.1,90.4,49307,30000,36822,45805,67386,94983,472100
SAN LEANDRO,20140318,N,KFH SAN LEANDRO PPMP LABORATORY,05D2074922,Y,M2,20200317,94577,36084,-122.1651409,37.7063601,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,100,1,SAN LEANDRO CITY,90331,43.5,33458,63.1,36.9,2.69,3.36,N,N,4143,5.6,4.2,19706,21.8,23822,26.3,7283,8,810,0.9,33161,36.6,1297,1.4,545,0.6,3931,4.3,60.1,39.9,54,85850,50.8,29.7,63438,90994,72857,110592,27448,8.3,4.7,17.2,19.8,17.3,44,44,37.6,6.4,14.6,0,56,811,1.8,8.4,34.2,24.8,5.2,14.9,10.7,89.8,26974,-,25341,28167,38750,36875,248700
SAN LEANDRO,20140508,N,KAISER FOUNDATION HOSPITAL SAN LEANDRO LABORATORY,05D2077472,Y,M2,20190120,94577,36084,-122.1651409,37.7063601,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,100,1,SAN LEANDRO CITY,90331,43.5,33458,63.1,36.9,2.69,3.36,N,N,4143,5.6,4.2,19706,21.8,23822,26.3,7283,8,810,0.9,33161,36.6,1297,1.4,545,0.6,3931,4.3,60.1,39.9,54,85850,50.8,29.7,-,96737,113750,89745,24954,0,0,0,1.1,0,45.9,45.9,45.9,0,0,0,54.1,121,0,18.2,6.6,47.9,5.8,12.4,9.1,81.8,29333,-,-,-,41250,-,319100
CHICO,19930107,N,ENLOE MEDICAL CENTER,05D0644218,Y,M2,20190102,95926,17020,-121.8501891,39.7421399,ENLOE MEDICAL CENTER,100,1,CHICO CITY,92796,30.8,37547,53,47,2.39,2.96,N,N,5795,7.6,3.7,18152,19.5,64425,69.1,2499,2.7,557,0.6,5036,5.4,0,0,0,0,2628,2.8,92.2,7.8,47,87893,16.2,5,"$ 250,000+",216172,"$ 250,000+",258715,86279,0,0,-,0,0,70.7,70.7,70.7,0,0,0,29.3,41,0,0,22,7.3,9.8,36.6,24.4,100,62292,-,-,-,-,-,234500
CHICO,19930318,N,ENLOE HOSPITAL NURSING SERVICES,05D0864956,Y,M2,20190713,95926,17020,-121.8501891,39.7421399,ENLOE MEDICAL CENTER,100,1,CHICO CITY,92796,30.8,37547,53,47,2.39,2.96,N,N,5795,7.6,3.7,18152,19.5,64425,69.1,2499,2.7,557,0.6,5036,5.4,0,0,0,0,2628,2.8,92.2,7.8,47,87893,16.2,5,58125,74696,-,-,29979,-,-,-,43.8,-,75.3,75.3,69.9,5.5,7.3,0,24.7,65,0,0,46.2,24.6,0,20,9.2,100,-,-,-,-,21354,-,325200
ANTIOCH,19921221,N,SUTTER DELTA MEDICAL CENTER,05D0062749,Y,M2,20160721,94509,36084,-121.8029543,37.9825884,SUTTER DELTA MEDICAL CENTER,60,0.6,ANTIOCH CITY,111346,36.2,34423,78.2,21.8,3.23,3.56,N,N,5764,7,0,37993,34,29392,26.3,20903,18.7,127,0.1,14190,12.7,539,0.5,841,0.8,7698,6.9,76.5,23.5,55.6,103818,36.5,16.9,61161,58594,74464,84956,25985,0,0,0,13.2,0,26.6,26.6,26.6,0,0,0,73.4,121,0,5.8,54.5,5.8,0.8,21.5,11.6,94.2,-,-,-,-,-,-,200700
ANTIOCH,19921216,N,SUTTER DELTA MEDICAL CENTER,05D0597478,Y,M2,20190102,94509,36084,-121.8029543,37.9825884,SUTTER DELTA MEDICAL CENTER,60,0.6,ANTIOCH CITY,111346,36.2,34423,78.2,21.8,3.23,3.56,N,N,5764,7,0,37993,34,29392,26.3,20903,18.7,127,0.1,14190,12.7,539,0.5,841,0.8,7698,6.9,76.5,23.5,55.6,103818,36.5,16.9,64286,69008,80250,81051,22286,7,8,0,17.5,15.2,36.8,36.8,23.2,13.6,37,0,63.2,238,3.4,4.2,45.8,17.2,5.5,19.3,4.6,92.4,16389,-,-,17083,-,-,205700
CONCORD,19931217,N,"JOHN MUIR MEDICAL CENTER, CONCORD CAMPUS",05D0880668,Y,LAB,20190102,94524,36084,-122.0347814,37.9837249,JOHN MUIR MEDICAL CENTER CONCORD CAMPUS,80,0.8,CONCORD CITY,129051,39.3,45868,70.1,29.9,2.8,3.33,N,N,6039,6,0,35883,27.6,66813,51.5,3292,2.5,333,0.3,17941,13.8,0,0,297,0.2,5219,4,73.9,26.1,47,120550,37.9,17.8,60636,75677,74151,91557,29628,5.2,2.2,18.2,10.6,20.3,46,45.9,41.6,4.2,9.3,0.1,54,28953,3,7.3,27.1,30.1,10.5,14.8,7.3,89.7,37497,27459,32463,36285,49811,64979,239700
CONCORD,19991123,N,AMERICAN RED CROSS BLOOD SERVICES-NCR,05D0967782,Y,LAB,20011124,94520,36084,-122.0347814,37.9837249,JOHN MUIR MEDICAL CENTER CONCORD CAMPUS,80,0.8,CONCORD CITY,129051,39.3,45868,70.1,29.9,2.8,3.33,N,N,6039,6,0,35883,27.6,66813,51.5,3292,2.5,333,0.3,17941,13.8,0,0,297,0.2,5219,4,73.9,26.1,47,120550,37.9,17.8,49063,97704,79583,142978,47340,0,0,0,8.8,0,64,64,52.6,11.4,17.8,0,36,100,0,0,28,26,10,28,8,100,41042,-,-,-,-,-,224500
