_,ACPTBL_POC_SW,CMPLNC_STUS_CD,CROSS_REF_PROVIDER_NUMBER,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,ORGNL_PRTCPTN_DT,PRVDR_NUM,SKLTN_REC_SW,STATE_RGN_CD,PGM_TRMNTN_CD,TRMNTN_EXPRTN_DT,CRTFCTN_ACTN_TYPE_CD,GNRL_CNTL_TYPE_CD,ZIP_CD,FIPS_CNTY_CD,CBSA_CD,longitude,latitude,names,grade,addresses,ZIP1,ZIP2,Geography.1,Total_Civilian_Noninstitutionalized_Population,Avg-Median_age_in_years,Total_Households_Estimate,Prop_Family_households,Prop_Nonfamily_households,Average_household_size,Average_family_size,Gps_living_with_gcs_under_18_years,Prop__Gps_caring_for_gc_over_18,Number_of_Veterans,Veterans_as_Prop_of_population,Unemployed_veterans_Prop_of_labour_force,Hispani_or_Latino,Hispanic/Latino_Prop,White,White_Prop,Black_Estimate,Black_Prop,Native_American/Alaskan,Native_American/Alaskan_Prop,Asian,Asian_Prop,Native_Hawaiian/Pacific_Islander,Native_Hawaiian/Pacific_Islander_Prop,"Other_Race_Only,_Not_Hispanic/Latino","Other_Race_Only,_Not_Hispanic/Latino_Prop","Two_or_more_races_alone,_Not_Hispanic_or_Latino_Estimate","Two_or_more_races_alone,_Not_Hispanic_or_Latino_Prop",Prop_Native_Born,Prop_Foreign_born,Prop_of_Foreign_Born_who_are_Naturalized_U.S._citizen,Pop_5_years_+,Pop_5_years_+_foreign_language_at_home,Pop_5_years_+_w/_poor_English,Median_household_income_(dollars),Mean_household_income_(dollars),Median_family_income_(dollars),Mean_family_income_(dollars),Per_capita_income_(dollars),All_families%,Married_couple_families%,female_householder_no_husband%,All_people%,Under_18%,Percent_(Labor_Force_Participation_Rate),Labour_Force_%,Employed_16+%,Employed_%_16+,Unemployment%,Military%,Not_in_labourforce%,"Population_25_years_
and_over%",Percent_Less_than_9th_grade%,"Percent_9th_to_12th_grade,_no_diploma",Percent_High_school_graduate_(includes_equivalency),"Percent_Some_college,_no_degree",Percent_Associate's_degree,Percent_Bachelor's_degree,Percent_Graduate_or_professional_degree,Percent_high_school_graduate_or_higher,Population_25_years_and_over_with_earnings,Less_than_high_school_graduate_earnings_(dollars),High_school_graduate__earnings_(dollars),Some_college_or_associate's_degree_earnings_(dollars),Bachelor's_degree_earnings_(dollars),Graduate_or_professional_degree_earnings_(dollars),Median_Value_(dollars)
FREMONT,Y,A,0,19950912,Y,"KAISER FOUNDATION HOSPITAL FREMONT LABORATORY",19920901,05D0673159,N,M2,0,20200807,2,4,94538,1,36084,-121.974401,37.5524244,"KAISER FOUNDATION HOSPITAL - FREMONT",100,"39400 PASEO PADRE PARKWAY
                FREMONT, CA 94538-2310",94538-2310,945382310,"FREMONT CITY",234341,37.4,72148,82.8,17.2,3.23,3.52,8477,34.8,4153,2.3,6.1,31053,13.2,45570,19.4,4451,1.9,741,0.3,143836,61.2,812,0.3,304,0.1,8187,3.5,51.2,48.8,52.8,220370,64.9,17.5,92321,108872,106277,116866,40427,5.7,4,12.8,9.3,11.6,63.6,63.6,61.5,2.1,3.2,0,36.4,7754,4.7,2.9,19.8,24.2,12.1,22.3,14,92.4,51670,31515,37964,51914,61882,74271,597000
FREMONT,N,0,0,19930208,N,"TPMG MEDICAL OFFICES",19930208,05D0689039,Y,M2,0,20200831,0,4,94538,1,36084,-121.974401,37.5524244,"KAISER FOUNDATION HOSPITAL - FREMONT",100,"39400 PASEO PADRE PARKWAY
                FREMONT, CA 94538-2310",94538-2310,945382310,"FREMONT CITY",234341,37.4,72148,82.8,17.2,3.23,3.52,8477,34.8,4153,2.3,6.1,31053,13.2,45570,19.4,4451,1.9,741,0.3,143836,61.2,812,0.3,304,0.1,8187,3.5,51.2,48.8,52.8,220370,64.9,17.5,122191,143043,130360,154636,47015,3.2,1.9,12.1,4.9,3.9,66.7,66.7,63.7,3,4.6,0,33.3,161887,2.8,3.8,17.6,15,5.7,29,26.2,93.4,69685,28212,37150,47915,83178,114134,805100
HAYWARD,N,B,0,20101202,Y,"ST ROSE HOSPITAL LABORATORY",19920901,05D0699959,N,M2,0,20191130,5,2,94545,1,36084,-122.087952,37.6337041,"ST. ROSE HOSPITAL",60,"27200 CALAROGA AVENUE
                HAYWARD, CA 94545-4383",94545-4383,945454383,"HAYWARD CITY",159560,34.9,46860,73.9,26.1,3.35,3.85,7637,19.3,4430,3.6,1.9,65718,40.9,25960,16.2,13893,8.7,350,0.2,42519,26.5,2740,1.7,267,0.2,9038,5.6,61.8,38.2,55.6,150864,59.2,20.9,74927,92906,79553,98463,29583,8.3,5.2,17.3,10.5,15,67.3,67.2,63,4.3,6.3,0.1,32.7,106571,10.5,8,26.3,21.2,7.2,19.4,7.4,81.5,40131,26152,33528,41176,56470,73863,268900
HAYWARD,N,A,0,20101202,Y,"ST ROSE HOSPITAL PULMONARY LAB",19920901,05D0711665,N,M2,8,20151130,5,2,94545,1,36084,-122.087952,37.6337041,"ST. ROSE HOSPITAL",60,"27200 CALAROGA AVENUE
                HAYWARD, CA 94545-4383",94545-4383,945454383,"HAYWARD CITY",159560,34.9,46860,73.9,26.1,3.35,3.85,7637,19.3,4430,3.6,1.9,65718,40.9,25960,16.2,13893,8.7,350,0.2,42519,26.5,2740,1.7,267,0.2,9038,5.6,61.8,38.2,55.6,150864,59.2,20.9,109084,132041,125951,146945,47903,3,1.7,10.3,4.8,3.8,70.5,70.4,67.7,2.8,3.9,0,29.5,61016,3.9,3.9,17.3,23.8,9.7,26.5,14.9,92.2,58447,22456,40525,51012,79789,102767,332300
HAYWARD,N,0,0,19971103,N,"ST ROSE HOSPITAL-OCCUPATIONAL HEALTH",19971103,05D0935616,Y,LAB,0,20191102,0,1,94545,1,36084,-122.087952,37.6337041,"ST. ROSE HOSPITAL",60,"27200 CALAROGA AVENUE
                HAYWARD, CA 94545-4383",94545-4383,945454383,"HAYWARD CITY",159560,34.9,46860,73.9,26.1,3.35,3.85,7637,19.3,4430,3.6,1.9,65718,40.9,25960,16.2,13893,8.7,350,0.2,42519,26.5,2740,1.7,267,0.2,9038,5.6,61.8,38.2,55.6,150864,59.2,20.9,96817,116053,100375,120431,35920,4.1,2.5,11.7,6.3,9.2,66,66,62.6,3.4,5.1,0,34,31857,4.7,6.2,31,21.1,5.8,21.2,10.1,89.1,50404,31935,39139,50652,74090,94596,642300
HAYWARD,N,A,0,20110928,Y,"PRECISION PATHOLOGY HAYWARD",20101117,05D2016390,N,M2,1,20130201,1,4,94545,1,36084,-122.087952,37.6337041,"ST. ROSE HOSPITAL",60,"27200 CALAROGA AVENUE
                HAYWARD, CA 94545-4383",94545-4383,945454383,"HAYWARD CITY",159560,34.9,46860,73.9,26.1,3.35,3.85,7637,19.3,4430,3.6,1.9,65718,40.9,25960,16.2,13893,8.7,350,0.2,42519,26.5,2740,1.7,267,0.2,9038,5.6,61.8,38.2,55.6,150864,59.2,20.9,63251,93849,70907,107880,37256,14.5,8.3,29.4,18.7,26.4,67.9,67.8,62.4,5.5,8,0.1,32.1,299323,11.2,8.2,15.6,18.7,5.8,22.8,17.8,80.7,40421,21307,25170,33946,55781,75799,408100
HAYWARD,N,0,0,20130619,N,"EAST BAY PATHOLOGY ASSOCIATES",20130619,05D2060888,Y,M2,1,20150218,0,4,94545,1,36084,-122.087952,37.6337041,"ST. ROSE HOSPITAL",60,"27200 CALAROGA AVENUE
                HAYWARD, CA 94545-4383",94545-4383,945454383,"HAYWARD CITY",159560,34.9,46860,73.9,26.1,3.35,3.85,7637,19.3,4430,3.6,1.9,65718,40.9,25960,16.2,13893,8.7,350,0.2,42519,26.5,2740,1.7,267,0.2,9038,5.6,61.8,38.2,55.6,150864,59.2,20.9,202631,275243,220441,304749,96594,2.6,2.4,6.1,4.9,1,62.5,62.5,60.1,2.4,3.9,0,37.5,7721,0.4,0.7,2.2,7.2,4.6,36.2,48.6,98.9,103330,-,40250,63380,96750,137500,572800
OAKLAND,N,0,0,19921223,N,"SUMMIT CAMPUS LAB OF ALTA BATES",19921223,05D0602367,Y,M2,0,20190208,0,2,94609,1,36084,-122.262747,37.822057,"ALTA BATES SUMMIT MEDICAL CENTER SUMMIT CAMPUS",60,"350 HAWTHORNE AVENUE
                OAKLAND, CA 94609",", CA 94609",94609,"OAKLAND CITY",423307,36.7,158851,55,45,2.63,3.4,9394,18.1,12670,3.7,5.6,120770,28.4,114971,27,97457,22.9,1315,0.3,65682,15.4,2563,0.6,1826,0.4,20620,4.8,71.9,28.1,42.7,398551,41.1,21.7,138269,168160,157023,187504,60067,3.1,1.9,12,4.3,5.2,66,65.9,63.6,2.3,3.5,0,34,54223,1.8,2,11.2,16,6.7,34.8,27.5,96.2,83439,30980,45654,60058,89078,119710,387700
OAKLAND,N,0,0,19930602,N,"SUMMIT MEDICAL CENTER NUCLEAR MEDICINE",19930602,05D0691784,Y,LAB,33,19960831,0,2,94609,1,36084,-122.262747,37.822057,"ALTA BATES SUMMIT MEDICAL CENTER SUMMIT CAMPUS",60,"350 HAWTHORNE AVENUE
                OAKLAND, CA 94609",", CA 94609",94609,"OAKLAND CITY",423307,36.7,158851,55,45,2.63,3.4,9394,18.1,12670,3.7,5.6,120770,28.4,114971,27,97457,22.9,1315,0.3,65682,15.4,2563,0.6,1826,0.4,20620,4.8,71.9,28.1,42.7,398551,41.1,21.7,66178,86416,79186,95722,32396,8.1,7.1,12.7,11.1,13,65.6,65.5,61.4,4.1,6.3,0,34.4,64181,9.5,8.3,24.3,20.6,7.5,20.1,9.8,82.2,41829,30483,34091,40937,58650,67731,495400
OAKLAND,N,0,0,19930301,N,"SUMMIT MED CENTER BEDSIDE TESTING LAB",19930301,05D0707874,Y,LAB,8,20160831,0,2,94609,1,36084,-122.262747,37.822057,"ALTA BATES SUMMIT MEDICAL CENTER SUMMIT CAMPUS",60,"350 HAWTHORNE AVENUE
                OAKLAND, CA 94609",", CA 94609",94609,"OAKLAND CITY",423307,36.7,158851,55,45,2.63,3.4,9394,18.1,12670,3.7,5.6,120770,28.4,114971,27,97457,22.9,1315,0.3,65682,15.4,2563,0.6,1826,0.4,20620,4.8,71.9,28.1,42.7,398551,41.1,21.7,89961,100432,93777,106156,31914,5.3,4.7,9,8.9,13.4,64.5,64.5,60.4,4.1,6.3,0,35.5,17484,9.5,7.3,28.2,21.1,8.7,18.7,6.5,83.3,48783,31938,41477,48687,59117,67019,957800
OAKLAND,N,0,0,20130912,N,"KAISER FOUNDATION HOSPITAL LABORATORY",20130912,05D2065697,Y,M2,1,20170913,0,2,94611,1,36084,-122.2582442,37.8235195,"KAISER FOUNDATION HOSPITAL - OAKLAND",80,"3600 BROADWAY
                OAKLAND, CA 94611-5730",94611-5730,946115730,"OAKLAND CITY",423307,36.7,158851,55,45,2.63,3.4,9394,18.1,12670,3.7,5.6,120770,28.4,114971,27,97457,22.9,1315,0.3,65682,15.4,2563,0.6,1826,0.4,20620,4.8,71.9,28.1,42.7,398551,41.1,21.7,109453,186884,124167,219456,71410,3.4,3.8,0,9,32.2,60,60,57,3,5,0,40,782,4.5,2.3,15.9,26,6.9,28.1,16.4,93.2,56739,-,36250,55938,61250,110000,814600
"SAN LEANDRO",N,0,0,20140303,N,"TPMG SAN LEANDRO PPMP LABORATORY MOB",20140303,05D2074181,Y,M2,0,20200302,0,4,94577,1,36084,-122.1651409,37.7063601,"KAISER FOUNDATION HOSPITAL - SAN LEANDRO",100,"2500 MERCED STREET
                SAN LEANDRO, CA 94577-4201",94577-4201,945774201,"SAN LEANDRO CITY",90331,43.5,33458,63.1,36.9,2.69,3.36,N,N,4143,5.6,4.2,19706,21.8,23822,26.3,7283,8,810,0.9,33161,36.6,1297,1.4,545,0.6,3931,4.3,60.1,39.9,54,85850,50.8,29.7,95625,115659,102341,122856,34727,4.5,2.9,13.7,7.1,8.3,63.6,63.5,60.1,3.4,5.4,0.1,36.4,53631,4.6,4.9,27.5,21.4,6.1,23.4,12.1,90.4,49307,30000,36822,45805,67386,94983,472100
"SAN LEANDRO",N,0,0,20140318,N,"KFH SAN LEANDRO PPMP LABORATORY",20140318,05D2074922,Y,M2,0,20200317,0,2,94577,1,36084,-122.1651409,37.7063601,"KAISER FOUNDATION HOSPITAL - SAN LEANDRO",100,"2500 MERCED STREET
                SAN LEANDRO, CA 94577-4201",94577-4201,945774201,"SAN LEANDRO CITY",90331,43.5,33458,63.1,36.9,2.69,3.36,N,N,4143,5.6,4.2,19706,21.8,23822,26.3,7283,8,810,0.9,33161,36.6,1297,1.4,545,0.6,3931,4.3,60.1,39.9,54,85850,50.8,29.7,63438,90994,72857,110592,27448,8.3,4.7,17.2,19.8,17.3,44,44,37.6,6.4,14.6,0,56,811,1.8,8.4,34.2,24.8,5.2,14.9,10.7,89.8,26974,-,25341,28167,38750,36875,248700
"SAN LEANDRO",N,0,0,20140508,N,"KAISER FOUNDATION HOSPITAL SAN LEANDRO LABORATORY",20140508,05D2077472,Y,M2,0,20190120,0,2,94577,1,36084,-122.1651409,37.7063601,"KAISER FOUNDATION HOSPITAL - SAN LEANDRO",100,"2500 MERCED STREET
                SAN LEANDRO, CA 94577-4201",94577-4201,945774201,"SAN LEANDRO CITY",90331,43.5,33458,63.1,36.9,2.69,3.36,N,N,4143,5.6,4.2,19706,21.8,23822,26.3,7283,8,810,0.9,33161,36.6,1297,1.4,545,0.6,3931,4.3,60.1,39.9,54,85850,50.8,29.7,-,96737,113750,89745,24954,0,0,0,1.1,0,45.9,45.9,45.9,0,0,0,54.1,121,0,18.2,6.6,47.9,5.8,12.4,9.1,81.8,29333,-,-,-,41250,-,319100
CHICO,N,0,0,19930107,N,"ENLOE MEDICAL CENTER",19930107,05D0644218,Y,M2,0,20190102,0,2,95926,7,17020,-121.8501891,39.7421399,"ENLOE MEDICAL CENTER",100,"1531 ESPLANADE
                CHICO, CA 95926-3386",95926-3386,959263386,"CHICO CITY",92796,30.8,37547,53,47,2.39,2.96,N,N,5795,7.6,3.7,18152,19.5,64425,69.1,2499,2.7,557,0.6,5036,5.4,0,0,0,0,2628,2.8,92.2,7.8,47,87893,16.2,5,"$ 250,000+",216172,"$ 250,000+",258715,86279,0,0,-,0,0,70.7,70.7,70.7,0,0,0,29.3,41,0,0,22,7.3,9.8,36.6,24.4,100,62292,-,-,-,-,-,234500
CHICO,N,0,0,19930318,N,"ENLOE HOSPITAL NURSING SERVICES",19930318,05D0864956,Y,M2,0,20190713,0,2,95926,7,17020,-121.8501891,39.7421399,"ENLOE MEDICAL CENTER",100,"1531 ESPLANADE
                CHICO, CA 95926-3386",95926-3386,959263386,"CHICO CITY",92796,30.8,37547,53,47,2.39,2.96,N,N,5795,7.6,3.7,18152,19.5,64425,69.1,2499,2.7,557,0.6,5036,5.4,0,0,0,0,2628,2.8,92.2,7.8,47,87893,16.2,5,58125,74696,-,-,29979,-,-,-,43.8,-,75.3,75.3,69.9,5.5,7.3,0,24.7,65,0,0,46.2,24.6,0,20,9.2,100,-,-,-,-,21354,-,325200
ANTIOCH,N,0,0,19921221,N,"SUTTER DELTA MEDICAL CENTER",19921221,05D0062749,Y,M2,8,20160721,0,2,94509,13,36084,-121.8029543,37.9825884,"SUTTER DELTA MEDICAL CENTER",60,"3901 LONE TREE WAY
                ANTIOCH, CA 94509-6253",94509-6253,945096253,"ANTIOCH CITY",111346,36.2,34423,78.2,21.8,3.23,3.56,N,N,5764,7,0,37993,34,29392,26.3,20903,18.7,127,0.1,14190,12.7,539,0.5,841,0.8,7698,6.9,76.5,23.5,55.6,103818,36.5,16.9,61161,58594,74464,84956,25985,0,0,0,13.2,0,26.6,26.6,26.6,0,0,0,73.4,121,0,5.8,54.5,5.8,0.8,21.5,11.6,94.2,-,-,-,-,-,-,200700
ANTIOCH,N,0,0,19921216,N,"SUTTER DELTA MEDICAL CENTER",19921216,05D0597478,Y,M2,0,20190102,0,2,94509,13,36084,-121.8029543,37.9825884,"SUTTER DELTA MEDICAL CENTER",60,"3901 LONE TREE WAY
                ANTIOCH, CA 94509-6253",94509-6253,945096253,"ANTIOCH CITY",111346,36.2,34423,78.2,21.8,3.23,3.56,N,N,5764,7,0,37993,34,29392,26.3,20903,18.7,127,0.1,14190,12.7,539,0.5,841,0.8,7698,6.9,76.5,23.5,55.6,103818,36.5,16.9,64286,69008,80250,81051,22286,7,8,0,17.5,15.2,36.8,36.8,23.2,13.6,37,0,63.2,238,3.4,4.2,45.8,17.2,5.5,19.3,4.6,92.4,16389,-,-,17083,-,-,205700
